Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Region,Hotel_Size_Category,Hotel_Type
CINNAMON GRAND HOTEL,"NO. 77, GALLE ROAD, COLOMBO 03",501,5,Colombo,Colombo,Colombo Divisional Secretariat,79.849235,6.918034,Western,Large,Luxury
CINNAMON LAKESIDE COLOMBO,"115, SRI CHITAMPALAM A GARDINER MAWATHA, COLOMBO 02",352,5,Colombo,Colombo,Colombo Divisional Secretariat,79.849414,6.929273,Western,Large,Luxury
CINNAMON LODGE,"P.O. BOX 02, HABARANE",162,5,Anuradhapura,Anuradhapura,Anuradhapura East,80.74881,8.034584,North Central,Medium,Other
GALADARI HOTEL,"NO. 64, LOTUS ROAD, COLOMBO 01",408,3,Colombo,Colombo,Colombo Divisional Secretariat,79.843155,6.931679,Western,Large,Mid-range
EDEN RESORTS AND SPA,"KALUWAMODARA, BERUWALA",158,5,Kalutara,Kalutara Pradeshiya Sabha,Kalmunai Divisional Secretariat,79.990213,6.444585,Western,Medium,Other
HERITANCE KANDALAMA,"P.O. BOX 11, DAMBULLA.",162,5,Matale,Matale,Matale Divisional Secretariat,80.70784,7.871055,Central,Medium,Other
TAJ SAMUDRA HOTEL,"NO. 25, GALLE FACE CENTER ROAD, COLOMBO 03",291,5,Colombo,Colombo,Colombo Divisional Secretariat,79.846841,6.922654,Western,Medium,Other
EARLS REGENCY HOTEL,"TENNEKUMURA, KANDY",96,5,Kandy,Kandy,Kandy Divisional Secretariat,80.669495,7.281795,Central,Small,Other
HILTON-COLOMBO,"LOTUS ROAD,ECHELON SQUARE,COLOMBO 01",382,5,Colombo,Colombo,Colombo Divisional Secretariat,79.845193,6.932248,Western,Large,Luxury
MAHAWELI REACH HOTEL,"35,P.B.A. WEERAKOON MAWATHA, KANDY",116,5,Kandy,Kandy,Kandy Divisional Secretariat,80.631227,7.325148,Central,Medium,Other
CHAAYA BLU,"UPPAVELI, TRINCOMALEE",56,4,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.217522,8.617773,Eastern,Small,Other
HABARANA VILLAGE BY CINNAMON,"P.O. BOX. 01, HABARANA.",108,4,Anuradhapura,Hingurakgoda Pradeshiya Sabha,Polonnaruwa Divisional Secretariat,80.74991,8.036549,North Central,Medium,Other
